CustomProperty,CustomPropertyDefinition,EntityType,CommonProperty,CommonPropertyDefinition,PSET,datatype,InitialScore,Score,ManualScore,P1 Aspects 1,P1 Aspects 2,P2 Aspects 1,P2 Aspects 2,IsUnitSame,Aspect Overlap,Suggest Score
serial number,"A serial number is a unique identifier assigned incrementally or sequentially to an item, to uniquely identify it.",IfcWall,ArticleNumber,Article number or reference that is be applied to a configured product according to a standard scheme for article number definition as defined by the manufacturer. It is often used as the purchasing number.,Pset_ManufacturerTypeInformation,IfcIdentifier,0.485931993,2.429659965,3.6,Identity,,Identity,,"Same,Different Constrain",Fully Equivalent,4
total area,"the whole number or amount of somethingThe term  are  generally refers to a two-dimensional extent or measurement of land or some other surface, or part of a region. Typically, it is used to measure the two-dimensional surface of a three-dimensional object, i.e. a building.",IfcRoof,ConstructionMethod,Designator for whether the concrete element is constructed on site or prefabricated. Allowed values are: 'In-Situ' vs 'Precast'.,Pset_ConcreteElementGeneral,IfcLabel,0.374812901,1.874064505,1.5,Geometry,Software-dependent Analytics,Project Information,,Different,Not Equivalent,1
phase create,The term project phase refers to a collection of activities within a project. Each project phase is goal-oriented and ends at a milestone. Reaching these milestones means the project progresses. Each phase can be divided into sub-phases.,IfcWall,ServiceLifeDuration,"The length or duration of a service life.  

The lower bound indicates pessimistic service life, the upper bound indicates optimistic service life, and the setpoint indicates the typical service life.",Pset_ServiceLife,IfcDuration,0.322129786,1.61064893,2.5,Facility Information,Project Information,Facility Information,,Different,Partial Equivalent,2
vertical projection,Vertical projection profile is calculated for every column as sum of all row pixel values inside the column. ,IfcSlab,NetArea,"Total area of the extruded area of the slab. Openings and recesses are taken into account by subtraction, projections by addition. Only given, if the slab is prismatic.",Qto_SlabBaseQuantities,ENUM,0.361174434,1.80587217,2.5,Software-dependent Analytics,Position and Topology ,Geometry,Software-dependent Analytics,Different,Partial Equivalent,2
down text,being or moving lower in position or less in some valuethe main body of a written work (as distinct from illustrations or footnotes etc.),IfcStair,TreadLengthAtOffset,"Length of treads at a given offset.
Walking line position is given by the 'WalkingLineOffset'. The resulting value should normally be identical with TreadLength, it may be given in addition, if the walking line offset for building code calculations is different from that used in design.",Pset_StairCommon,IfcPositiveLengthMeasure,0.285681486,1.42840743,2,Position and Topology ,Software-dependent Analytics,Geometry,Position and Topology ,Different,Partial Equivalent,2
move with grid,the act of changing location from one place to anotheraccompanied by (another person or thing).a pattern of regularly spaced horizontal and vertical lines,IfcColumn,GrossSurfaceArea,"Total area of the column, normally generated as perimeter * length + 2 * cross section area. It is the sum of OuterSurfaceArea + (2 x CrossSectionArea) and shall only be given, if the OuterSurfaceArea and CrossSectionArea cannot be established separately.",Qto_ColumnBaseQuantities,ENUM,0.298285544,1.49142772,2,Position and Topology ,Software-dependent Analytics,Geometry,Software-dependent Analytics,Different,Partial Equivalent,2
start attachment type,Either End Elevation or Distance. Specifies the attachment orientation at the start position of the beam. End Elevation (default) orients the start position at the placement level of the beam. Distance orients the start position to the join location on a column. See About Adjusting the Beam Elevation at Column Join.,IfcBeam,CrossSectionArea,Total area of the cross section (or profile) of the beam.,Qto_BeamBaseQuantities,ENUM,0.499757051,2.498785257,3,Geometry,,Geometry,,Different,Fully Equivalent,3
landing overlap,"Enabled when stairs are set to monolithic. When a monolithic stair has a winder, the bottom of the stair can be a smooth shape or stepped. If it is stepped, this parameter controls the distance between the riser face and the vertical face of the corresponding step on the underside",IfcStair,NumberOfRiser,Total number of the risers included in the stair.,Pset_StairCommon,IfcCountMeasure,0.459674656,2.29837328,1,Geometry,,position and Topology ,,Different,Not Equivalent,1
rebar cover other face,"Rebar, also known as reinforcement steel and reinforcing steel, is a steel bar or mesh of steel wires used in reinforced concrete and masonry structures to strengthen and hold the concrete in tension. To improve the quality of the bond with the concrete, the surface of rebar is often patternedCover refers to the distance between the outside of a concrete structure and the reinforcement.not the same one or ones already mentioned or impliedBuilding face means the general outer surface of any exterior wall of a building or other structure",IfcWall,ReinforcementVolumeRatio,The required ratio of the effective mass of the reinforcement to the effective volume of the concrete of a reinforced concrete structural element.,Pset_ConcreteElementGeneral,IfcMassDensityMeasure,0.484551251,2.422756255,2.2,Structural Properties,,Structural Properties,,Different,Fully Equivalent,3
window inset,The inset of the window into the wall.,IfcWindow,HasSillExternal,Indication whether the window opening has an external sill (TRUE) or not (FALSE).,Pset_WindowCommon,IfcBoolean,0.421753168,2.10876584,1.5,Geometry,,Facility Information,,Different,Not Equivalent,1
stringer carriage height,"Controls the relationship between the side stringers and treads. If you increase the number, the stringer moves down from the treads. Treads do not move. ",IfcStair,BatterAtEnd,"The angle, in radians, by which the formwork at the ending face of a piece is to be rotated from the vertical in order to compensate for the rotation of the face that will occur once the piece is stripped from its form, inducing camber due to eccentric prestressing.",Pset_PrecastConcreteElementGeneral,IfcPlaneAngleMeasure,0.279058516,1.39529258,2,Geometry,Position and Topology ,Position and Topology ,Structural Properties,Different,Partial Equivalent,2
up arrow,extending or moving toward a higher place. a mark to indicate a direction or relation,IfcStair,WarrantyIdentifier,The identifier assigned to a warranty.,Pset_Warranty,IfcIdentifier,0.300200999,1.501004995,1,Position and Topology ,Software-dependent Analytics,Identity,Facility Information,Different,Not Equivalent,1
warranty guarantor labor,"A warranty is a representation made by one party upon which another party may rely. It is not the same as a guarantee (which is a promise to stand for the debt of another) even though many contracts use the terms interchangeably. Warranties may be express (written in the contract or stated orally), implied (by the common law) or statutory (set forth in a state s statutes).Various short-term insurance com- panies (or guarantors) are issuing construction guarantees on behalf of contractors to provide a benefit to employers upon the occurrence of certain eventualities relating to the failure of the contractor to perform its obligations under the PBA.In the construction industry, labour is the term usually given to unskilled, manual workers on a site, i.e what is normally termed 'manual labour' or 'site labour'. It may do a variety of jobs including, digging, cleaning, catering, carrying and lifting.",IfcWall,ConcreteCoverAtLinks,The protective concrete cover at the reinforcement links according to local building regulations.,Pset_ConcreteElementGeneral,IfcPositiveLengthMeasure,0.411249042,2.05624521,2,Project Information,,Material and Finish,,"Same,Different Constrain",Not Equivalent,2
ventilation zone name,the act of supplying fresh air and getting rid of foul airan area or region distinguished from adjacent parts by a distinctive feature or characteristica language unit by which a person or thing is known,IfcSpace,MoldingHeight,"Height of the molding.

The height information is provided in absence of an IfcCovering (type=MOLDING) object with own shape representation and material assignment. In case of inconsistency the height assigned to IfcCovering elements takes precedence.",Pset_SpaceCoveringRequirements,IfcPositiveLengthMeasure,0.375557482,1.87778741,0.5,Identity,Facility Information,Geometry,,Different,Not Equivalent,1
show up arrow in all view,"make visible or noticeableextending or moving toward a higher placea mark to indicate a direction or relationused to indicate inclusion within space, a place, or limits)Views are how we are able to see our 3D model (and 2D details).",IfcStair,Twisting,"The angle, in radians, through which the end face of a precast piece is rotated with respect to its starting face, along its longitudinal axis, as a result of non-aligned supports. This measure is also termed the  warping angle.",Pset_PrecastConcreteElementGeneral,IfcPlaneAngleMeasure,0.410699487,2.053497435,1.6,Position and Topology ,Software-dependent Analytics,Geometry,Position and Topology ,Different,Partial Equivalent,2
line weight,"Line weight is the visual lightness, darkness, or heaviness of a line within a drawing. ",IfcBuildingStorey,LightingLoadIntensity,Average lighting load intensity in the space per unit area (PowerMeasure/IfcAreaMeasure).,Pset_ThermalLoadDesignCriteria,IfcReal,0.338956743,1.694783715,1.5,Software-dependent Analytics,,Facility Information,,Different,Not Equivalent,1
function,"In relation to the built environment, the term 'function' refers to the purpose of a building or structure. It can also relate to the proper operation, process or performance of something and how it works, such as plant, tools, lift, building services.",IfcWall,HollowCorePlugging,"A descriptive label for how the hollow core ends are treated: they may be left open, closed with a plug, or sealed with cast concrete. Values would be, for example: 'Unplugged', 'Plugged', 'SealedWithConcrete'. This property applies to  hollow core slabs only.",Pset_PrecastConcreteElementGeneral,IfcLabel,0.374560773,1.872803865,0.98,Facility Information,,Structural Properties,,Different,Not Equivalent,1
extend below base,"Specifies a distance to extend the run below the base level of the stair. This is useful in cases where the run attaches to the face of a floor opening rather than resting on the surface of the floor. To extend the run below the floor, enter a negative number.",IfcStair,FireExit,"Indication whether this object is designed to serve as an exit in the case of fire (TRUE) or not (FALSE).
Here it defines an exit stair in accordance to the national building code.",Pset_StairCommon,IfcBoolean,0.386509597,1.932547985,1,Geometry,,Facility Information,,Different,Not Equivalent,1
riser height,"the height between consecutive treads, or for ramps, the vertical distance between each end of the ramp flight.the distance between the lowest and highest points of a person standing upright; stature:",IfcStair,NosingLength,Horizontal distance from the front of the tread to the riser underneath. It is the overhang of the tread.,Pset_StairCommon,IfcLengthMeasure,0.280710548,1.40355274,3,Geometry,Position and Topology ,Geometry,Position and Topology ,Different,Fully Equivalent,3
occupancy zone name,an act of being a tenant or occupantan area or region distinguished from adjacent parts by a distinctive feature or characteristica language unit by which a person or thing is known,IfcSpace,ConditionCommencement,"Condition of property provided on commencement of the agreement e.g. cold shell, warm lit shell, broom clean, turn-key.",Pset_PropertyAgreement,IfcText,0.378700256,1.89350128,2,Identity,Facility Information,Facility Information,,Different,Partial Equivalent,2
perimeter,the continuous line forming the boundary of a closed geometrical figure,IfcCovering,PhotochemicalOzoneFormation,Quantity of gases creating the photochemical ozone calculated in equivalent ethylene.,Pset_EnvironmentalImpactValues,IfcMassMeasure,0.247588217,1.237941085,0.5,Geometry,,Sustaibility,,Different,Not Equivalent,1
warranty duration labor,"A warranty is a representation made by one party upon which another party may rely. It is not the same as a guarantee (which is a promise to stand for the debt of another) even though many contracts use the terms interchangeably. Warranties may be express (written in the contract or stated orally), implied (by the common law) or statutory (set forth in a state s statutes).An activity is an operation or process consuming time and possibly other resources. An individual or work team can manage an activity. It is a measurable element of a programme.In the construction industry, labour is the term usually given to unskilled, manual workers on a site, i.e what is normally termed 'manual labour' or 'site labour'. It may do a variety of jobs including, digging, cleaning, catering, carrying and lifting.",IfcWall,WarrantyContent,The content of the warranty.,Pset_Warranty,IfcText,0.496576667,2.482883335,4.1,Project Information,,Project Information,,"Same,Different Constrain",Fully Equivalent,4
move with grid,the act of changing location from one place to anotheraccompanied by (another person or thing).a pattern of regularly spaced horizontal and vertical lines,IfcColumn,Twisting,"The angle, in radians, through which the end face of a precast piece is rotated with respect to its starting face, along its longitudinal axis, as a result of non-aligned supports. This measure is also termed the  warpingÂ¡Â¯ angle.",Pset_PrecastConcreteElementGeneral,IfcPlaneAngleMeasure,0.293288171,1.466440855,1,Position and Topology ,Software-dependent Analytics,Structural Properties,,Different,Not Equivalent,1
head height,the top of somethingthe vertical dimension of extension; distance from the base of something to the top,IfcDoor,Duration,Duration of process.,Pset_EnvironmentalImpactValues,IfcDuration,0.31964469,1.59822345,1,Geometry,,Sustaibility,Project Information,Different,Not Equivalent,1
window inset,The inset of the window into the wall.,IfcWindow,Height,"Total outer heigth of the window lining. It should only be provided, if it is a rectangular window.",Qto_WindowBaseQuantities,ENUM,0.552101493,2.760507465,2.5,Geometry,,Geometry,,Different,Fully Equivalent,3
omni class table category,"OmniClass  or OCCS, is a classification system used for the organising and retrieving of information for the construction industry. a set of data arranged in rows and columnsa collection of things sharing a common attribute",IfcSpace,WallCovering,"Label to indicate the material or finish of the space flooring. The label is used for room book information and often displayed in room stamp.

The material information is provided in absence of an IfcCovering (type=CLADDING) object with own shape representation and material assignment. In case of inconsistency the material assigned to IfcCovering elements takes precedence.",Pset_SpaceCoveringRequirements,IfcLabel,0.469891727,2.349458635,2.6,Identity,,Identity,,Different,Fully Equivalent,3
middle stringers,Sets the number of stringers that appear underneath the stairs between the left and right of the stairs.,IfcStair,AsBuiltLocationNumber,"Defines a unique location within a structure, the  slot into which the piece was installed. Where pieces share the same piece mark, they can be interchanged. The value is only known after erection.",Pset_PrecastConcreteElementFabrication,IfcLabel,0.372704655,1.863523275,2.2,Position and Topology ,Structural Properties,Position and Topology ,Project Information,Different,Partial Equivalent,2
beam material,"""Beams are structural elements that resists loads applied laterally to their axisMaterials include manufactured products such as components, fittings, items of equipment and systems; naturally occurring materials such as stone, timber and thatch; and backfilling for excavations in connection with building work.""",IfcBeam,ThermalTransmittance,"Thermal transmittance coefficient (U-Value) of the element. Here the total thermal transmittance coefficient through the beam within the direction of the thermal flow (including all materials).

Note: new property in IFC4",IfcThermalTransmittanceMeasure,IfcThermalTransmittanceMeasure,0.28923893,1.446194649,2,Material and Finish,,Material and Finish,Structural Properties,Different,Partial Equivalent,2
wall closure,The layer wrapping around the door,IfcDoor,GlassThickness1,Thickness of the first (inner) glass layer.,Pset_DoorWindowGlazingType,IfcPositiveLengthMeasure,0.390716791,1.953583955,1,Material and Finish,Geometry,Geometry,,Different,Partial Equivalent,2
column location mark,The coordinate location of a vertical column on the project grid.,IfcColumn,OuterSurfaceArea,"Total area of the extruded surfaces of the column (not taking into account the end cap areas), normally generated as perimeter * length.",Qto_ColumnBaseQuantities,ENUM,0.389571369,1.947856845,0.7,Identity,Position and Topology ,Geometry,Software-dependent Analytics,"Same,Different Constrain",Not Equivalent,1
text size,the main body of a written work (as distinct from illustrations or footnotes etc.)the physical magnitude of something,IfcStair,Shortening,The ratio of the distance by which a precast piece is shortened after release from its form (due to compression induced by prestressing) to its original (nominal) length.,Pset_PrecastConcreteElementGeneral,IfcRatioMeasure,0.362487137,1.812435685,1,Software-dependent Analytics,,Geometry,,Different,Not Equivalent,1
span,"In structural engineering and architecture, span is the term given to the length of a structural component  eg beam, floor, roof or floor truss  that extends (or spans) between two supports. Thus, a beam may be supported at either end, in which case it is said to span between the two points, and a floor may span between two (or three or even four) continuous supports.",IfcBeam,PieceMark,"Defines a unique piece for production purposes. All pieces with the same piece mark value are identical and interchangeable. The piece mark may be composed of sub-parts that have specific locally defined meaning (e.g. B-1A may denote a beam, of generic type Â¡Â®1Â¡Â¯ and specific shape Â¡Â®AÂ¡Â¯).",Pset_PrecastConcreteElementFabrication,IfcLabel,0.389595687,1.947978437,0.5,Geometry,,Structural Properties,Identity,Different,Not Equivalent,1
analyze as,Used by external analysis applications to determine whether beam conditions contribute to Gravity or Lateral analysis.,IfcBeam,ExposureClass,"Classification of exposure to environmental conditions, usually specified in accordance with the concrete design code which is applied in the project.",Pset_ConcreteElementGeneral,IfcLabel,0.376717418,1.88358709,1.8,Software-dependent Analytics,Sustaibility,,,Different,Not Equivalent,1
landing height adjustment,Raises or lowers the height of the railing from the value indicated in the Railing Height parameter at intermediate or top landings.,IfcRailing,ReinforcementAreaRatio,The required ratio of the effective area of the reinforcement to the effective area of the concrete At any section of a reinforced concrete structural element.,Pset_ConcreteElementGeneral,IfcAreaDensityMeasure,0.271525621,1.357628105,1.5,Geometry,Structural Properties,Structural Properties,,Different,Partial Equivalent,2
model label,"a model is a representation, often three-dimensional, of a structure system or procedure. It can represent something that already exists, or may be a model that it is intended will be adopted or followed.A label (as distinct from signage) is a piece of paper, plastic film, cloth, metal, or other material affixed to a container or product, on which is written or printed information or symbols about the product or item. Information printed directly on a container or article can also be considered labelling.",IfcWall,GrossFootprintArea,"Area of the wall as viewed by a ground floor view, not taking any wall modifications (like recesses) into account. It is also referred to as the foot print of the wall.",Qto_WallBaseQuantities,ENUM,0.42661804,2.1330902,1,Identity,,Geometry,,Different,Not Equivalent,1
symbol,an arbitrary sign (written or printed) that has acquired a conventional significance,IfcBuildingStorey,SprinklerProtectionAutomatic,"Indication whether this object has an automatic sprinkler protection (TRUE) or not (FALSE).
It should only be given, if the property SprinklerProtection"" is set to TRUE.""",Pset_BuildingStoreyCommon,IfcBoolean,0.27043736,1.3521868,1.2,Identity,,Facility Information,,Different,Not Equivalent,1
symbol at end 1 default,"Places a bubble by default at the left end of the level line. When you select a level line, a check box appears next to the level bubble. Clear the check box to hide the bubble. Select it again to display the bubble.",IfcBuildingStorey,Version,The version number of the agreement that is identified.,Pset_PropertyAgreement,IfcLabel,0.30747962,1.5373981,1.3,Software-dependent Analytics,Position and Topology ,Identity,Facility Information,Different,Not Equivalent,1
middle stringers,Sets the number of stringers that appear underneath the stairs between the left and right of the stairs.,IfcStair,RiserHeight,"Vertical distance from tread to tread. 
The riser height is supposed to be equal for all steps of a stair or stair flight.",Pset_StairCommon,IfcPositiveLengthMeasure,0.474735916,2.37367958,2,Position and Topology ,Structural Properties,Geometry,Position and Topology ,Different,Partial Equivalent,2
room tag,"Room tags can display values for related parameters, such as room number, room name, computed area, and volume.",IfcSpace,FloorCovering,"Label to indicate the material or finish of the space flooring. The label is used for room book information and often displayed in room stamp.

The material information is provided in absence of an IfcCovering (type=FLOORING) object with own shape representation and material assignment. In case of inconsistency the material assigned to IfcCovering elements takes precedence.",Pset_SpaceCoveringRequirements,IfcLabel,0.520071983,2.600359915,2.4,Identity,,Identity,Material and Finish,Different,Partial Equivalent,2
area,"The term  are  generally refers to a two-dimensional extent or measurement of land or some other surface, or part of a region. Typically, it is used to measure the two-dimensional surface of a three-dimensional object, i.e. a building.",IfcWall,NetFootprintArea,"Area of the wall as viewed by a ground floor view, taking all wall modifications (like recesses) into account. It is also referred to as the foot print of the wall. ",Qto_WallBaseQuantities,ENUM,0.41451028,2.0725514,3.5,Geometry,,Geometry,Software-dependent Analytics,"Same,Different Constrain",Partial Equivalent,3
